Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
BRL,,121.21,,137.62,,2021.06.09 23:42:44,
BRL,,121.21,,137.62,,2021.06.09 23:42:44,
BRL,,121.21,,137.62,,2021.06.09 23:42:44,
BRL,,121.06,,137.45,,2021.06.09 23:32:17,
BRL,,121.2,,137.61,,2021.06.09 23:00:39,
BRL,,121.31,,137.73,,2021.06.09 22:51:56,
BRL,,121.38,,137.82,,2021.06.09 22:48:47,
BRL,,121.18,,137.59,,2021.06.09 22:38:03,
BRL,,121.55,,138,,2021.06.09 22:04:31,
BRL,,121.56,,138.02,,2021.06.09 21:44:48,
BRL,,121.73,,138.21,,2021.06.09 21:36:16,
BRL,,121.85,,138.35,,2021.06.09 21:31:36,
BRL,,121.82,,138.32,,2021.06.09 21:31:25,
BRL,,121.84,,138.34,,2021.06.09 21:28:29,
BRL,,121.85,,138.35,,2021.06.09 20:15:04,
BRL,,121.65,,138.12,,2021.06.09 19:45:41,
BRL,,121.65,,138.12,,2021.06.09 19:29:25,
BRL,,121.72,,138.2,,2021.06.09 18:21:24,
BRL,,121.72,,138.2,,2021.06.09 18:18:43,
BRL,,121.72,,138.2,,2021.06.09 18:10:36,
BRL,,121.73,,138.21,,2021.06.09 17:59:38,
BRL,,121.73,,138.21,,2021.06.09 17:58:29,
BRL,,121.73,,138.21,,2021.06.09 17:54:03,
BRL,,121.74,,138.22,,2021.06.09 17:51:27,
BRL,,121.75,,138.23,,2021.06.09 17:49:21,
BRL,,121.75,,138.23,,2021.06.09 17:47:23,
BRL,,121.75,,138.23,,2021.06.09 17:33:07,
BRL,,121.77,,138.26,,2021.06.09 17:28:23,
BRL,,121.76,,138.24,,2021.06.09 17:21:56,
BRL,,121.76,,138.24,,2021.06.09 17:19:20,
BRL,,121.76,,138.24,,2021.06.09 17:17:12,
BRL,,121.76,,138.24,,2021.06.09 17:13:24,
BRL,,121.77,,138.26,,2021.06.09 17:12:16,
BRL,,121.77,,138.26,,2021.06.09 17:11:37,
BRL,,121.77,,138.26,,2021.06.09 17:09:11,
BRL,,121.76,,138.24,,2021.06.09 16:46:20,
BRL,,121.77,,138.26,,2021.06.09 16:40:42,
BRL,,121.77,,138.26,,2021.06.09 16:37:36,
BRL,,121.78,,138.27,,2021.06.09 16:37:05,
BRL,,121.79,,138.28,,2021.06.09 16:31:21,
