Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,
RUB,8.79,8.26,8.87,9.2,8.86,2021.06.09 23:42:44,
RUB,8.79,8.26,8.87,9.2,8.86,2021.06.09 23:42:44,
RUB,8.79,8.26,8.87,9.2,8.86,2021.06.09 23:42:44,
RUB,8.79,8.26,8.87,9.2,8.86,2021.06.09 23:32:17,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 23:00:39,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 22:51:56,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 22:48:47,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 22:38:03,
RUB,8.82,8.28,8.9,9.23,8.86,2021.06.09 22:04:31,
RUB,8.82,8.28,8.9,9.23,8.86,2021.06.09 21:44:48,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 21:36:16,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 21:31:36,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 21:31:25,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 21:28:29,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 20:15:04,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 19:45:41,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 19:29:25,
RUB,8.8,8.27,8.88,9.21,8.86,2021.06.09 18:21:24,
RUB,8.8,8.27,8.88,9.21,8.86,2021.06.09 18:18:43,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 18:10:36,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 17:59:38,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 17:58:29,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 17:54:03,
RUB,8.8,8.27,8.88,9.21,8.86,2021.06.09 17:51:27,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 17:49:21,
RUB,8.8,8.27,8.88,9.21,8.86,2021.06.09 17:47:23,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 17:33:07,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 17:28:23,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 17:21:56,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 17:19:20,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 17:17:12,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 17:13:24,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 17:12:16,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 17:11:37,
RUB,8.81,8.27,8.89,9.22,8.86,2021.06.09 17:09:11,
RUB,8.82,8.28,8.9,9.23,8.86,2021.06.09 16:46:20,
RUB,8.82,8.28,8.9,9.23,8.86,2021.06.09 16:40:42,
RUB,8.82,8.28,8.9,9.23,8.86,2021.06.09 16:37:36,
RUB,8.82,8.28,8.9,9.23,8.86,2021.06.09 16:37:05,
RUB,8.82,8.28,8.9,9.23,8.86,2021.06.09 16:31:21,
